iter	RMSE
0	0.09768136324
1	0.08803525456
2	0.08204374159
3	0.0749386146
4	0.06877264293
5	0.06402838291
6	0.05937792064
7	0.05668250193
8	0.05390097413
9	0.05113512847
10	0.04938068718
11	0.04762850887
12	0.04514179342
13	0.04325731866
14	0.0417049338
15	0.04009608938
16	0.03883640366
17	0.0372858987
18	0.03635485397
19	0.03590692415
20	0.0355682454
21	0.03478351769
22	0.03415325087
23	0.03303839785
24	0.03225052979
25	0.03162582373
26	0.03096377856
27	0.02984917677
28	0.02923293533
29	0.02830968253
30	0.02750464362
31	0.0264886878
32	0.02574633697
33	0.02504828082
34	0.02444200481
35	0.02372300385
36	0.02329253216
37	0.02297965727
38	0.0225928472
39	0.02214269899
40	0.02156675781
41	0.02127537703
42	0.02051558878
43	0.01986867507
44	0.0197324353
45	0.01952510669
46	0.01895483843
47	0.01836353275
48	0.01802184291
49	0.01769833983
50	0.01739876798
51	0.01718540703
52	0.01708560225
53	0.01700771225
54	0.0166474177
55	0.01619168896
56	0.01597214576
57	0.01565039798
58	0.01508546895
59	0.01458448829
60	0.01409145573
61	0.0136803464
62	0.01352164694
63	0.01347017465
64	0.01315596249
65	0.01310409744
66	0.01277419352
67	0.01272336991
68	0.01235031505
69	0.01191191746
70	0.01183005771
71	0.01171283261
72	0.01165966525
73	0.01132858236
74	0.01121833266
75	0.01109449466
76	0.01097028235
77	0.01085017859
78	0.01055669063
79	0.01035173597
80	0.01006912471
81	0.01001367286
82	0.00965228056
83	0.009508419268
84	0.009473236432
85	0.009407764581
86	0.009222036124
87	0.009148342449
88	0.008869243602
89	0.008648717927
90	0.008420547616
91	0.008135205714
92	0.008057577625
93	0.007881232596
94	0.007722519695
95	0.007587664085
96	0.007435328832
97	0.007234699369
98	0.007003351448
99	0.006815616906
100	0.006780664721
101	0.006627387214
102	0.006539563999
103	0.006514815689
104	0.006404377136
105	0.006245634445
106	0.006010860773
107	0.005899349455
108	0.005805489708
109	0.00566125676
110	0.005629122608
111	0.00554021826
112	0.005409960902
113	0.005294938125
114	0.005217482663
115	0.00520252805
116	0.005075191065
117	0.004978878401
118	0.004875275314
119	0.00483727974
120	0.004740612943
121	0.004706621541
122	0.004663114337
123	0.004525060012
124	0.00446382616
125	0.004393098303
126	0.004345274243
127	0.004286318192
128	0.00427096393
129	0.004185865174
130	0.004161012806
131	0.004037552418
132	0.003915259044
133	0.003889537725
134	0.00379816165
135	0.003779826767
136	0.003707299963
137	0.003673851797
138	0.00363166194
139	0.00358446404
140	0.003479067059
141	0.003443335209
142	0.00338087757
143	0.003330290699
144	0.003307894947
145	0.003222660538
146	0.003173166138
147	0.003126114525
148	0.003043154662
149	0.003015688058
150	0.002977486101
151	0.002929947803
152	0.002863259387
153	0.00283303437
154	0.002761799423
155	0.002702836751
156	0.002615337043
157	0.002568837949
158	0.002557001296
159	0.002516647816
160	0.002494182101
161	0.002425676272
162	0.002345195569
163	0.002327379166
164	0.002299736993
165	0.002275547857
166	0.002211195476
